#iata,airport,city,state,country
00M,Thigpen,Bay Springs,MS,USA
00R,Livingston Municipal,Livingston,TX,USA
00V,Meadow Lake,Colorado Springs,CO,USA
01G,Perry-Warsaw,Perry,NY,USA
01J,Hilliard Airpark,Hilliard,FL,USA
01M,Tishomingo County,Belmont,MS,USA
02A,Gragg-Wade,Clanton,AL,USA
02C,Capitol,Brookfield,WI,USA
02G,Columbiana County,East Liverpool,OH,USA
03D,Memphis Memorial,Memphis,MO,USA
04M,Calhoun County,Pittsboro,MS,USA
04Y,Hawley Municipal,Hawley,MN,USA
05C,Griffith-Merrillville,Griffith,IN,USA
05F,Gatesville - City/County,Gatesville,TX,USA
05U,Eureka,Eureka,NV,USA
06A,Moton  Municipal,Tuskegee,AL,USA
06C,Schaumburg,Chicago/Schaumburg,IL,USA
06D,Rolla Municipal,Rolla,ND,USA
06M,Eupora Municipal,Eupora,MS,USA
06N,Randall,Middletown,NY,USA
06U,Jackpot/Hayden,Jackpot,NV,USA
07C,Dekalb County,Auburn,IN,USA
07F,Gladewater Municipal,Gladewater,TX,USA
07G,Fitch H Beach,Charlotte,MI,USA
07K,Central City Municipal,Central City,NE,USA
08A,Wetumpka Municipal,Wetumpka,AL,USA
08D,Stanley Municipal,Stanley,ND,USA
08K,Harvard State,Harvard,NE,USA
08M,Carthage-Leake County,Carthage,MS,USA
09A,Butler-Choctaw County,Butler,AL,USA
09J,Jekyll Island,Jekyll Island,GA,USA
09K,Sargent Municipal,Sargent,NE,USA
09M,Charleston Municipal,Charleston,MS,USA
09W,South Capitol Street,Washington,DC,USA
0A3,Smithville Municipal,Smithville,TN,USA
0A8,Bibb County,Centreville,AL,USA
0A9,Elizabethton Municipal,Elizabethton,TN,USA
0AK,Pilot Station,Pilot Station,AK,USA
0B1,Col. Dyke,Bethel,ME,USA
0B4,Hartington Municipal,Hartington,NE,USA
0B5,Turners Falls,Montague,MA,USA
0B7,Warren-Sugar Bush,Warren,VT,USA
0B8,Elizabeth,Fishers Island,NY,USA
0C0,Dacy,Chicago/Harvard,IL,USA
0C4,Pender Municipal,Pender,NE,USA
0D1,South Haven Municipal,South Haven,MI,USA
0D8,Gettysburg Municipal,Gettysburg,SD,USA
0E0,Moriarty,Moriarty,NM,USA
0E8,Crownpoint,Crownpoint,NM,USA
0F2,Bowie Municipal,Bowie,TX,USA
0F4,Loup City Municipal,Loup City,NE,USA
